Component, Time (ms)
Task time, 0.959
Task time, 0.697
Task time, 1.493
Task time, 2.027
Task time, 1.774
Task time, 1.261
Task time, 1.04
Task time, 0.707
Task time, 0.72
Task time, 1.686
Task time, 1.444
Task time, 1.434
Task time, 0.801
Task time, 0.775
Task time, 1.445
Task time, 0.78
Task time, 1.408
Task time, 0.795
Task time, 1.214
Task time, 1.372
Task time, 1.473
Task time, 1.518
Task time, 0.97
Task time, 1.531
Task time, 1.505
Task time, 0.822
Task time, 0.761
Task time, 1.556
Task time, 0.832
Task time, 1.713
Task time, 0.78
Task time, 1.222
Task time, 0.805
Task time, 1.247
Task time, 1.621
Task time, 1.342
Task time, 1.825
Task time, 1.332
Task time, 1.688
Task time, 0.935
Task time, 0.923
Task time, 1.23
Task time, 1.192
Task time, 1.011
Task time, 1.056
Task time, 1.371
Task time, 0.956
Task time, 1.949
Task time, 1.37
Task time, 1.059
Task time, 0.947
Task time, 0.906
Task time, 0.979
Task time, 0.936
Task time, 0.998
Task time, 1.097
Task time, 2.255
Task time, 2.058
Task time, 1.083
Task time, 1.648
Task time, 1.92
Task time, 1.891
Task time, 1.918
Task time, 1.12
Task time, 1.043
Task time, 1.613
Task time, 2.292
Task time, 1.901
Task time, 1.235
Task time, 2.155
Task time, 1.736
Task time, 1.379
Task time, 1.636
Task time, 1.727
Task time, 2.286
Task time, 2.077
Task time, 1.607
Task time, 1.989
Task time, 1.105
Task time, 1.987
Task time, 2.665
Task time, 1.134
Task time, 1.09
Task time, 1.078
Task time, 1.58
Task time, 1.017
Task time, 2.246
Task time, 1.612
Task time, 1.102
Task time, 1.112
Task time, 1.218
Task time, 1.128
Task time, 1.239
Task time, 1.061
Task time, 1.127
Task time, 1.1
Task time, 1.085
Task time, 1.036
Task time, 1.94
Task time, 2.441
Task time, 2.353
Task time, 2.499
Task time, 2.169
Task time, 1.822
Task time, 1.512
Task time, 2.27
Task time, 2.225
Task time, 2.084
Task time, 2.082
Task time, 2.587
Task time, 2.953
Task time, 2.407
Task time, 1.27
Task time, 1.748
Task time, 1.211
Task time, 1.562
Task time, 2.599
Task time, 1.251
Task time, 1.959
Task time, 1.276
Task time, 1.318
Task time, 2.657
Task time, 1.702
Task time, 1.522
Task time, 1.416
Task time, 2.377
Task time, 2.832
Task time, 2.487
Task time, 1.282
Task time, 2.04
Task time, 3.101
Task time, 2.687
Task time, 1.851
Task time, 2.388
Task time, 2.391
Task time, 2.262
Task time, 2.459
Task time, 1.604
Task time, 2.408
Task time, 1.31
Task time, 2.431
Task time, 1.437
Task time, 1.58
Task time, 1.911
Task time, 1.293
Task time, 1.366
Task time, 1.998
Task time, 2.492
Task time, 2.089
